City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
1735799,Sri Aman,MY,1.2376,111.4621,89.65,66,40,2.3
3382867,Totness,SR,5.8833,-56.3167,79.84,82,2,10.04
986717,Kruisfontein,ZA,-34.0033,24.7314,48.88,79,81,11.36
3372964,Lagoa,PT,39.05,-27.9833,68.4,83,94,15.77
1509999,Blagoveshchenka,RU,52.8333,79.8667,74.16,22,100,20.02
5110365,Broome,US,42.2506,-75.833,65.28,77,81,1.99
709450,Duliby,UA,49.2313,23.8153,59.16,87,89,4.29
463355,Zheleznodorozhnyy,RU,55.7503,38.0042,42.62,63,100,5.1
3386213,Touros,BR,-5.1989,-35.4608,74.3,87,6,13.98
2122493,Omsukchan,RU,62.5333,155.8,57.04,45,21,11.16
1490918,Staryy Nadym,RU,65.6118,72.6842,42.6,79,100,23.02
2454955,Kolokani,ML,13.5728,-8.0339,72.57,91,63,4.05
167357,Manbij,SY,36.5281,37.9549,63.37,70,0,11.41
110690,Faya,SA,18.3851,42.4509,64.92,34,9,2.73
1487112,Vikulovo,RU,56.8167,70.6107,45.64,76,80,11.16
5072006,Lincoln,US,40.8,-96.667,75.85,68,1,5.01
1728675,Balabac,PH,7.9868,117.0645,83.55,71,100,8.39
2126785,Belaya Gora,RU,68.5333,146.4167,54.73,52,73,4.05
5000950,Marquette,US,46.5333,-87.6335,64.04,72,40,1.01
2986159,Arrondissement de Pontivy,FR,48.0,-3.0,53.4,91,100,3.2
3893629,Coquimbo,CL,-29.9533,-71.3436,55.13,82,75,4.61
1266135,Korampallam,IN,8.7667,78.1,91.69,55,40,4.61
1252783,Yārāda,IN,17.65,83.2667,89.92,66,75,9.22
217562,Butembo,CD,0.15,29.2833,58.48,91,98,2.46
1272140,Dwārka,IN,22.2394,68.9678,83.19,83,100,15.41
2137773,Vao,NC,-22.6667,167.4833,68.99,57,0,15.95
5583997,Ammon,US,43.4696,-111.9666,53.96,40,24,1.01
4094455,Tuscaloosa,US,33.2098,-87.5692,74.79,97,90,5.75
2090021,Namatanai,PG,-3.6667,152.4333,83.05,73,48,10.02
